City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,obligado,-27.0333,-55.6333,289.23,88,100,0.91,PY,1715308696
293,lerwick,60.1545,-1.1494,281.15,97,100,6.52,GB,1715308799
294,havre,49.5833,0.3333,284.02,93,57,2.57,FR,1715308800
295,franklin,39.9667,-83.0166,286.59,94,100,3.09,US,1715308662
296,fallon,39.4735,-118.7774,294.08,27,40,5.14,US,1715308803
297,usinsk,65.9939,57.5281,272.08,97,100,1.34,RU,1715308780
298,kayangel,8.0823,134.7173,300.92,80,100,2.36,PW,1715308805
299,port lincoln,-34.7333,135.8667,289.73,65,0,3.55,AU,1715308807
300,srivardhan,18.0333,73.0167,302.23,70,1,2.18,IN,1715308808
301,machali,-34.1833,-70.6667,282.87,54,71,0.44,CL,1715308809
302,umm kaddadah,13.6017,26.6876,297.02,8,52,4.24,SD,1715308811
303,sanya,18.2431,109.505,306.24,58,20,4.0,CN,1715308812
304,sisophon,13.5859,102.9737,306.36,54,37,2.27,KH,1715308813
305,mata-utu,-13.2816,-176.1745,301.37,73,57,6.32,WF,1715308815
306,milledgeville,33.0801,-83.2321,293.98,96,0,1.54,US,1715308816
307,la gi,10.6667,107.7833,305.36,59,56,8.19,VN,1715308818
308,saint marys,30.7305,-81.5465,297.16,87,0,3.09,US,1715308776
309,port alfred,-33.5906,26.891,287.69,98,23,0.81,ZA,1715308369
310,al kharijah,25.4514,30.5464,297.74,11,0,1.33,EG,1715308822
311,millbrook,32.4799,-86.3619,297.2,83,100,3.09,US,1715308824
312,baymak,52.5933,58.3225,273.57,54,5,6.38,RU,1715308825
313,kurumkan,54.3,110.3,278.78,74,100,4.47,RU,1715308393
314,fujin,47.26,132.0322,291.0,20,100,2.57,CN,1715308827
315,zavetnoye,47.1194,43.8903,280.48,36,31,3.05,RU,1715308829
316,kupang,-10.1667,123.5833,304.25,55,2,5.58,ID,1715308830
317,isangel,-19.55,169.2667,297.21,73,75,3.09,VU,1715308831
318,kiunga,-6.1219,141.2906,298.96,96,97,1.21,PG,1715308832
319,prince rupert,54.3161,-130.3201,284.2,85,100,4.12,CA,1715308833
320,medina,24.4686,39.6142,300.39,19,0,0.0,SA,1715308585
321,center,31.5107,-96.4247,297.37,93,75,2.37,US,1715308635
322,malango,-2.9627,119.9001,301.2,58,10,1.93,ID,1715308362
323,kimbe,-5.5502,150.1429,302.09,83,100,0.21,PG,1715308349
324,fuglafjordur,62.244,-6.814,281.41,97,100,4.46,FO,1715308837
325,miles city,46.4083,-105.8406,289.69,55,0,5.14,US,1715308838
326,seoni,22.0833,79.5333,302.76,50,0,5.09,IN,1715308839
327,cole harbour,44.6724,-63.4751,279.79,92,100,7.2,CA,1715308840
328,saipan,15.1355,145.701,306.54,62,40,6.17,MP,1715308213
329,mukalla,14.5425,49.1242,301.69,76,54,1.8,YE,1715308842
330,mao,39.8885,4.2658,286.46,94,0,3.09,ES,1715308628
331,susuman,62.7833,148.1667,275.92,68,99,1.79,RU,1715308350
332,oranjemund,-28.55,16.4333,285.07,91,1,1.65,NA,1715308846
333,urengoy,65.9667,78.3667,274.03,98,100,9.63,RU,1715308848
334,ad dilam,23.9915,47.1627,294.38,24,32,1.7,SA,1715308850
335,taraz,42.9,71.3667,288.38,82,100,5.0,KZ,1715308852
336,jiaojiang,28.6803,121.4428,294.36,64,100,5.36,CN,1715308853
337,nabire,-3.3667,135.4833,302.21,78,100,1.4,ID,1715308855
338,boundiali,9.5217,-6.4869,298.23,77,31,2.1,CI,1715308856
339,ghat,24.9647,10.1728,294.61,22,0,6.27,LY,1715308858
340,riviere-du-loup,47.8304,-69.5342,278.64,65,79,0.0,CA,1715308859
341,arraias,-12.9288,-46.9437,291.72,43,14,2.36,BR,1715308861
342,menongue,-14.6585,17.691,286.29,43,7,2.06,AO,1715308863
343,pacific grove,36.6177,-121.9166,291.7,78,0,4.12,US,1715308864
344,masally,39.0,48.6667,289.11,89,84,1.97,AZ,1715308866
345,miquelon,47.0975,-56.3814,278.15,72,100,3.77,PM,1715308868
346,lyndon,38.2567,-85.6016,294.05,68,20,4.63,US,1715308869
347,labytnangi,66.6572,66.4183,270.03,95,100,11.83,RU,1715308871
348,greymouth,-42.4667,171.2,286.2,46,0,0.49,NZ,1715308872
349,bayganin,48.6947,55.8742,279.79,44,23,1.58,KZ,1715308874
350,bubaque,11.2833,-15.8333,299.63,81,100,3.31,GW,1715308838
351,flin flon,54.7682,-101.865,284.74,52,49,5.65,CA,1715308350
